Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,27.481428,28.000000,27.328571,27.818571,24.147655,187469100
2010-02-02,27.987143,28.045713,27.625713,27.980000,24.287779,174585600
2010-02-03,27.881428,28.600000,27.774286,28.461428,24.705675,153832000
2010-02-04,28.104286,28.338572,27.367144,27.435715,23.815323,189413000
2010-02-05,27.518572,28.000000,27.264286,27.922857,24.238180,212576700
2010-02-08,27.955715,28.268572,27.714285,27.731428,24.072010,119567700
2010-02-09,28.059999,28.214285,27.821428,28.027143,24.328703,158221700
2010-02-10,27.984285,28.085714,27.751429,27.874287,24.196022,92590400
2010-02-11,27.840000,28.535715,27.722857,28.381428,24.636232,137586400
2010-02-12,28.301428,28.805714,27.928572,28.625713,24.848288,163867200
2010-02-16,28.848572,29.098572,28.788572,29.057142,25.222784,135934400
2010-02-17,29.170000,29.187143,28.694286,28.935715,25.117380,109099200
2010-02-18,28.804285,29.127142,28.702858,28.990000,25.164499,105706300
2010-02-19,28.837143,29.028572,28.730000,28.809999,25.008259,103867400
2010-02-22,28.905714,28.928572,28.455715,28.631428,24.853251,97640900
2010-02-23,28.571428,28.761429,27.958570,28.151428,24.436592,143773700
2010-02-24,28.318571,28.777143,28.262857,28.665714,24.883013,115141600
2010-02-25,28.197144,28.980000,28.127142,28.857143,25.049177,166281500
2010-02-26,28.911428,29.309999,28.857143,29.231428,25.374073,126865200
2010-03-01,29.392857,29.928572,29.350000,29.855715,25.915976,137523400
2010-03-02,29.990000,30.118572,29.677143,29.835714,25.898617,141636600
2010-03-03,29.848572,29.981428,29.705715,29.904285,25.958138,93013200
2010-03-04,29.897142,30.131428,29.804285,30.101429,26.129267,91510300
2010-03-05,30.705715,31.385714,30.661428,31.278572,27.151081,224905100
2010-03-08,31.430000,31.441429,31.178572,31.297142,27.167196,107472400
2010-03-09,31.187143,32.142857,31.127142,31.860001,27.655781,230064800
2010-03-10,31.975714,32.211430,31.885714,32.119999,27.881474,149054500
2010-03-11,31.987143,32.214287,31.902857,32.214287,27.963320,101425100
2010-03-12,32.481430,32.532856,32.250000,32.371429,28.099728,104080900
2010-03-15,32.197144,32.214287,31.464285,31.977142,27.757462,123375700
2010-03-16,32.025715,32.139999,31.787144,32.064285,27.833111,111727000
2010-03-17,32.128571,32.349998,31.895714,32.017143,27.792187,112739200
2010-03-18,32.014286,32.142857,31.801428,32.092857,27.857908,85527400
2010-03-19,32.112858,32.177143,31.604286,31.750000,27.560299,139861400
2010-03-22,31.495714,32.285713,31.450001,32.107143,27.870312,114104900
2010-03-23,32.234287,32.682858,32.014286,32.622856,28.317976,150607800
2010-03-24,32.520000,32.885715,32.501427,32.767143,28.443213,149445100
2010-03-25,32.988571,32.995716,32.321430,32.378571,28.105921,135571100
2010-03-26,32.707142,33.135715,32.650002,32.985714,28.632942,160218800
2010-03-29,33.285713,33.410000,33.088570,33.198570,28.817705,135186100
2010-03-30,33.799999,33.925713,33.464287,33.692856,29.246777,131827500
2010-03-31,33.641430,33.801430,33.494286,33.571430,29.141371,107664900
2010-04-01,33.915714,34.104286,33.250000,33.709999,29.261658,150786300
2010-04-05,33.568573,34.072857,33.538570,34.070000,29.574146,171126900
2010-04-06,34.028572,34.320000,33.857143,34.220001,29.704361,111754300
2010-04-07,34.221428,34.560001,34.094284,34.371429,29.835800,157125500
2010-04-08,34.348572,34.505714,34.005714,34.278572,29.755198,143247300
2010-04-09,34.490002,34.555714,34.351429,34.541428,29.983374,83545700
2010-04-12,34.599998,34.724285,34.544285,34.612858,30.045366,83256600
2010-04-13,34.551430,34.685715,34.444286,34.632858,30.062731,76552700
2010-04-14,35.040001,35.115715,34.867142,35.098572,30.466986,101019100
2010-04-15,35.111427,35.575714,35.072857,35.560001,30.867535,94196200
2010-04-16,35.509998,35.877144,34.935715,35.342857,30.679043,187636400
2010-04-19,35.290001,35.412857,34.538570,35.295715,30.638123,141731100
2010-04-20,35.505714,35.607143,34.708572,34.941429,30.330585,184581600
2010-04-21,36.971428,37.178570,36.532856,37.031429,32.144798,245597800
2010-04-22,36.891430,38.107143,36.599998,38.067142,33.043835,198356200
2010-04-23,38.284286,38.882858,38.142857,38.689999,33.584499,199238900
2010-04-26,38.840000,38.922855,38.312859,38.500000,33.419579,119767200
2010-04-27,38.181427,38.262856,37.217144,37.434284,32.494484,177335900
2010-04-28,37.607143,37.714287,36.630001,37.371429,32.439926,189600600
2010-04-29,37.574287,38.571430,37.430000,38.377144,33.312931,139710200
2010-04-30,38.472858,38.652859,37.285713,37.298573,32.376675,135615900
2010-05-03,37.691429,38.268570,37.554287,38.049999,33.028946,113585500
2010-05-04,37.555714,37.612858,36.678570,36.954285,32.077824,180954900
2010-05-05,36.147144,36.877144,35.532856,36.570000,31.744251,220775800
2010-05-06,36.261429,36.892857,28.464285,35.178570,30.536434,321465200
2010-05-07,34.815716,35.224285,32.172855,33.694286,29.248018,419004600
2010-05-10,35.750000,36.378571,35.504284,36.284286,31.496237,246076600
2010-05-11,35.977142,37.127144,35.785713,36.645714,31.809975,212226700
2010-05-12,37.034286,37.590000,36.957142,37.441429,32.500687,163594900
2010-05-13,37.602856,37.857143,36.628571,36.908573,32.038147,149928100
2010-05-14,36.451427,36.639999,35.642857,36.259998,31.475155,189840700
2010-05-17,36.385715,36.597141,35.387142,36.317142,31.524761,190708700
2010-05-18,36.711430,36.935715,35.751427,36.051430,31.294094,195669600
2010-05-19,35.642857,36.131428,34.978573,35.477142,30.795610,256431700
2010-05-20,34.554287,34.835712,33.744286,33.965714,29.483631,320728800
2010-05-21,33.259998,34.928570,33.049999,34.617142,30.049093,305972800
2010-05-24,35.325714,35.842857,35.180000,35.251427,30.599680,188559700
2010-05-25,34.192856,35.251427,33.880001,35.031429,30.408720,262001600
2010-05-26,35.725716,36.018570,34.821430,34.872856,30.271061,212663500
2010-05-27,35.799999,36.270000,35.587143,36.192856,31.416882,166570600
2010-05-28,37.055714,37.057144,36.192856,36.697144,31.854618,203903700
2010-06-01,37.098572,37.991428,36.994286,37.261429,32.344444,219118200
2010-06-02,37.791428,37.828571,37.189999,37.707142,32.731339,172137000
2010-06-03,37.882858,37.935715,37.201427,37.588570,32.628410,162526700
2010-06-04,36.887142,37.414288,36.375713,36.565716,31.740519,189576100
2010-06-07,36.898571,37.021427,35.792858,35.848572,31.118025,221735500
2010-06-08,36.177143,36.257141,35.092857,35.618572,30.918377,250192600
2010-06-09,35.924286,35.985714,34.641430,34.742859,30.158216,213657500
2010-06-10,34.977142,35.854286,34.599998,35.787144,31.064703,194089000
2010-06-11,35.461430,36.265713,35.338570,36.215714,31.436712,136439800
2010-06-14,36.565716,37.021427,36.287144,36.325714,31.532217,150740100
2010-06-15,36.520000,37.121429,36.500000,37.098572,32.203079,146268500
2010-06-16,37.299999,38.250000,37.232857,38.178570,33.140556,195919500
2010-06-17,38.657143,38.985714,38.500000,38.838570,33.713467,218213800
2010-06-18,38.892857,39.285713,38.774284,39.152859,33.986275,196155400
2010-06-21,39.669998,39.858570,38.389999,38.595715,33.502659,194122600
2010-06-22,38.880001,39.424286,38.785713,39.121429,33.958992,179315500
2010-06-23,39.225716,39.237144,38.271427,38.709999,33.601860,192114300
2010-06-24,38.714287,39.028572,38.299999,38.428570,33.357574,178569300
2010-06-25,38.580002,38.610001,37.972858,38.099998,33.072357,137485600
2010-06-28,38.132858,38.535713,37.788570,38.328571,33.270760,146237000
2010-06-29,37.731430,37.770000,36.328571,36.595715,31.766567,283336200
2010-06-30,36.672855,36.852856,35.715714,35.932858,31.191195,184863000
2010-07-01,36.328571,36.400002,34.745716,35.497143,30.812979,255724000
2010-07-02,35.784286,35.847141,34.742859,35.277142,30.622002,173460700
2010-07-06,35.857143,36.114285,35.165714,35.518570,30.831568,153808900
2010-07-07,35.784286,36.967144,35.678570,36.952858,32.076584,163639000
2010-07-08,37.497143,37.557144,36.412857,36.869999,32.004673,184536100
2010-07-09,36.698570,37.128571,36.451427,37.088570,32.194393,108330600
2010-07-12,36.932858,37.407143,36.408573,36.755714,31.905466,140719600
2010-07-13,36.617142,36.628571,35.204285,35.971428,31.224661,297731000
2010-07-14,35.625713,36.542858,35.571430,36.104286,31.340002,203011900
2010-07-15,35.461430,36.709999,35.328571,35.921429,31.181261,206216500
2010-07-16,36.168571,36.424286,35.487144,35.700001,30.989067,259964600
2010-07-19,35.697144,35.697144,34.228573,35.082859,30.453362,256119500
2010-07-20,34.700001,36.128571,34.287144,35.984287,31.235825,268737700
2010-07-21,37.869999,37.878571,36.285713,36.320000,31.527237,296417800
2010-07-22,36.811428,37.142857,36.472858,37.002857,32.119995,161329700
2010-07-23,36.727142,37.197144,36.611427,37.134285,32.234066,133347200
2010-07-26,37.142857,37.157143,36.815716,37.040001,32.152225,105137900
2010-07-27,37.267143,37.828571,37.185715,37.725716,32.747456,146192900
2010-07-28,37.667141,37.998573,37.178570,37.279999,32.360546,129996300
2010-07-29,37.244286,37.521427,36.585712,36.872856,32.007141,160951700
2010-07-30,36.555714,37.099998,36.414288,36.750000,31.900509,112052500
2010-08-02,37.205715,37.512856,37.088570,37.407143,32.470921,107013900
2010-08-03,37.287144,37.608570,37.060001,37.418571,32.480846,104413400
2010-08-04,37.548573,37.754284,37.187141,37.568573,32.611069,105093800
2010-08-05,37.389999,37.597141,37.221428,37.385715,32.452320,72274300
2010-08-06,37.111427,37.355713,36.804287,37.155716,32.252670,111224400
2010-08-09,37.354286,37.450001,37.081429,37.392857,32.458527,75782000
2010-08-10,37.121429,37.207142,36.792858,37.058571,32.168362,112980000
2010-08-11,36.485714,36.527142,35.687141,35.741428,31.025017,155013600
2010-08-12,35.241428,36.157143,35.160000,35.970001,31.223429,133730100
2010-08-13,35.950001,35.982857,35.584286,35.585712,30.889847,88717300
2010-08-16,35.368572,35.715714,35.231430,35.377144,30.708807,79607500
2010-08-17,35.725716,36.375713,35.599998,35.995716,31.245750,105660100
2010-08-18,36.051430,36.381428,35.939999,36.152859,31.382154,84924000
2010-08-19,36.119999,36.211430,35.525715,35.697144,30.986586,106676500
2010-08-20,35.627144,36.274284,35.571430,35.662857,30.956810,96057500
2010-08-23,35.970001,36.000000,35.035713,35.114285,30.480627,103510400
2010-08-24,34.667141,34.714287,34.092857,34.275715,29.752724,150641400
2010-08-25,34.005714,34.855713,33.885715,34.698570,30.119780,149216900
2010-08-26,35.064285,35.107143,34.325714,34.325714,29.796118,116626300
2010-08-27,34.535713,34.658573,33.651428,34.517143,29.962290,137097800
2010-08-30,34.394287,35.107143,34.382858,34.642857,30.071411,95822300
2010-08-31,34.549999,34.937141,34.335712,34.728573,30.145821,105196700
2010-09-01,35.352856,35.922855,35.182858,35.761429,31.042374,174259400
2010-09-02,35.894287,36.024284,35.509998,36.024284,31.270548,103856900
2010-09-03,36.441429,36.968571,36.357143,36.967144,32.088993,130197200
2010-09-07,36.662857,37.075714,36.607143,36.830002,31.969942,85639400
2010-09-08,37.111427,37.770000,37.014286,37.560001,32.603619,131637800
2010-09-09,37.862858,38.074287,37.560001,37.581429,32.622215,109643800
2010-09-10,37.598572,37.785713,37.342857,37.630001,32.664379,96885600
2010-09-13,37.974285,38.325714,37.965714,38.148571,33.114513,97195000
2010-09-14,38.029999,38.452858,37.931427,38.294285,33.240990,102037600
2010-09-15,38.310001,38.625713,38.262856,38.602856,33.508862,107342200
2010-09-16,38.605713,39.524284,38.500000,39.509998,34.296291,163025800
2010-09-17,39.669998,39.708572,39.097141,39.338570,34.147488,158619300
2010-09-20,39.439999,40.540001,39.407143,40.461430,35.122169,164669400
2010-09-21,40.551430,41.049999,40.398571,40.538570,35.189137,167018600
2010-09-22,40.387142,41.139999,40.344284,41.107143,35.682678,146322400
2010-09-23,40.904285,41.822857,40.857143,41.274284,35.827755,196529200
2010-09-24,41.728573,41.932858,41.507141,41.759998,36.249378,162372000
2010-09-27,41.997143,42.104286,41.572857,41.594284,36.105537,120708700
2010-09-28,41.681427,41.681427,39.285713,40.980000,35.572304,258760600
2010-09-29,41.032856,41.401428,40.857143,41.052856,35.635555,117411000
2010-09-30,41.285713,41.428570,40.178570,40.535713,35.186657,168347900
2010-10-01,40.878571,40.939999,40.192856,40.360001,35.034130,112035700
2010-10-04,40.228573,40.414288,39.681427,39.805714,34.552975,108825500
2010-10-05,40.285713,41.349998,40.259998,41.277142,35.830250,125491800
2010-10-06,41.369999,41.712856,40.751427,41.312859,35.861256,167717200
2010-10-07,41.477142,41.497143,40.987144,41.317142,35.864967,102099900
2010-10-08,41.672855,42.071430,41.428570,42.009998,36.466404,164600800
2010-10-11,42.105713,42.462856,42.085712,42.194286,36.626366,106938300
2010-10-12,42.201427,42.785713,41.784286,42.648571,37.020699,139636000
2010-10-13,42.885715,43.137142,42.828571,42.877144,37.219105,157523100
2010-10-14,43.098572,43.209999,42.914288,43.187141,37.488209,108824100
2010-10-15,43.919998,45.000000,43.558571,44.962856,39.029591,230548500
2010-10-18,45.495716,45.571430,44.898571,45.428570,39.433857,273252700
2010-10-19,43.342857,44.824287,42.860001,44.212856,38.378567,308196000
2010-10-20,44.142857,44.892857,43.838570,44.361427,38.507534,180406100
2010-10-21,44.622856,44.962856,43.828571,44.217144,38.382286,137865000
2010-10-22,44.152859,44.291428,43.757141,43.924286,38.128075,93194500
2010-10-25,44.155716,44.514286,44.062859,44.119999,38.297962,98115500
2010-10-26,43.838570,44.248573,43.664288,44.007141,38.199986,98232400
2010-10-27,43.950001,44.271427,43.657143,43.975716,38.172710,99750700
2010-10-28,43.992859,44.000000,42.985714,43.605713,37.851540,137762800
