Date,Open,High,Low,Close,Adj Close,Volume
2010-03-23,127.940002,129.429993,127.639999,129.369995,94.182030,5978500
2010-03-24,128.630005,129.949997,128.470001,128.529999,93.570488,6669300
2010-03-25,129.360001,130.729996,129.130005,129.240005,94.087387,7603200
2010-03-26,128.929993,129.779999,128.720001,129.259995,94.101952,5550800
2010-03-29,129.300003,129.949997,128.259995,128.589996,93.614174,4643000
2010-03-30,128.899994,129.130005,128.250000,128.770004,93.745193,3426600
2010-03-31,128.229996,128.750000,127.650002,128.250000,93.366631,4904800
2010-04-01,128.949997,129.309998,127.550003,128.250000,93.366631,4980500
2010-04-05,128.380005,129.800003,128.139999,129.350006,94.167473,4118700
2010-04-06,128.679993,129.300003,128.050003,128.929993,93.861717,3926300
2010-04-07,128.529999,129.270004,128.009995,128.479996,93.534103,5157000
2010-04-08,128.039993,128.229996,127.199997,127.610001,92.900726,6006900
2010-04-09,127.879997,128.869995,127.120003,128.759995,93.737892,5185100
2010-04-12,128.570007,128.960007,128.240005,128.360001,93.446732,3992300
2010-04-13,128.259995,129.429993,127.839996,129.029999,93.934486,6819100
2010-04-14,129.729996,131.419998,129.460007,131.250000,95.550667,8545800
2010-04-15,130.529999,131.139999,130.190002,130.889999,95.288582,6425300
2010-04-16,130.679993,132.169998,130.250000,130.630005,95.099297,9546200
2010-04-19,130.380005,132.279999,130.380005,132.229996,96.264099,11353700
2010-04-20,129.199997,130.330002,128.259995,129.690002,94.414978,15216500
2010-04-21,129.869995,130.270004,128.500000,128.990005,93.905350,7559200
2010-04-22,128.639999,129.360001,127.769997,129.130005,94.007301,6018500
2010-04-23,129.080002,130.100006,128.710007,129.990005,94.633392,6197300
2010-04-26,129.759995,131.039993,129.539993,130.729996,95.172081,5285400
2010-04-27,129.899994,132.000000,128.710007,128.820007,93.781616,10916700
2010-04-28,129.399994,130.470001,129.029999,130.100006,94.713470,7122300
2010-04-29,130.550003,131.210007,130.149994,130.460007,94.975548,5786900
2010-04-30,130.429993,130.639999,128.839996,129.000000,93.912674,6266700
2010-05-03,129.389999,130.139999,128.800003,129.600006,94.349426,4992100
2010-05-04,128.889999,128.929993,126.570000,128.119995,93.272003,8285000
2010-05-05,127.120003,128.229996,126.870003,127.459999,92.791519,6072800
2010-05-06,126.290001,127.930000,116.000000,123.919998,90.676811,13168800
2010-05-07,123.360001,124.389999,120.000000,122.099998,89.345055,10584800
2010-05-10,126.269997,126.669998,125.059998,126.269997,92.396393,8463900
2010-05-11,125.209999,128.419998,125.150002,126.889999,92.850067,6498900
2010-05-12,127.160004,132.850006,127.010002,132.679993,97.086823,16626900
2010-05-13,130.929993,133.100006,130.850006,131.479996,96.208740,10497800
2010-05-14,131.059998,131.669998,129.410004,131.190002,95.996544,9920100
2010-05-17,130.679993,131.759995,128.699997,130.440002,95.447739,8923400
2010-05-18,131.259995,131.990005,129.899994,129.949997,95.089188,9330000
2010-05-19,129.369995,130.500000,127.820000,128.860001,94.291588,8669300
2010-05-20,127.220001,127.959999,123.680000,123.800003,90.589020,13176500
2010-05-21,122.160004,125.610001,121.400002,125.419998,91.774406,12639500
2010-05-24,125.260002,126.019997,124.040001,124.449997,91.064613,6868600
2010-05-25,121.470001,124.949997,121.470001,124.519997,91.115837,9494800
2010-05-26,124.889999,125.940002,123.000000,123.230003,90.171913,9083200
2010-05-27,125.050003,126.389999,124.769997,126.389999,92.484207,7725900
2010-05-28,125.959999,126.279999,124.290001,125.260002,91.657326,7421900
2010-06-01,124.690002,126.879997,124.199997,124.339996,90.984131,7135400
2010-06-02,124.849998,127.500000,124.349998,127.410004,93.230568,7705300
2010-06-03,127.750000,128.220001,126.459999,127.959999,93.633057,6645300
2010-06-04,126.370003,127.099998,124.669998,125.279999,91.671982,9669200
2010-06-07,125.570000,125.860001,124.129997,124.129997,90.830444,6951400
2010-06-08,124.260002,124.459999,122.820000,123.720001,90.530472,8399200
2010-06-09,124.830002,125.839996,123.580002,123.900002,90.662163,7795500
2010-06-10,125.989998,128.220001,125.800003,127.680000,93.428139,7479700
2010-06-11,126.730003,128.800003,126.440002,128.449997,93.991577,5820200
2010-06-14,128.500000,129.970001,128.490005,128.500000,94.028175,6753000
2010-06-15,128.929993,129.949997,128.369995,129.789993,94.972084,6652500
2010-06-16,128.339996,130.679993,128.339996,130.350006,95.381889,6401000
2010-06-17,130.070007,131.029999,129.860001,130.979996,95.842873,5571000
2010-06-18,131.020004,131.250000,130.130005,130.149994,95.235527,9581400
2010-06-21,131.419998,131.940002,130.220001,130.649994,95.601410,6857800
2010-06-22,130.369995,131.470001,129.070007,129.300003,94.613564,6030200
2010-06-23,129.250000,131.470001,129.089996,130.110001,95.206253,6855800
2010-06-24,129.570007,129.729996,127.699997,128.190002,93.801315,5565500
2010-06-25,128.339996,129.100006,127.120003,127.120003,93.018349,10420400
2010-06-28,127.650002,129.470001,127.220001,128.979996,94.379395,6335100
2010-06-29,127.349998,128.399994,124.120003,125.089996,91.532944,9376200
2010-06-30,124.830002,125.220001,123.000000,123.480003,90.354858,8018000
2010-07-01,123.550003,124.209999,121.610001,122.570000,89.688965,9742100
2010-07-02,123.290001,123.290001,120.610001,121.860001,89.169434,6454500
2010-07-06,123.580002,124.629997,122.169998,123.459999,90.340202,6348700
2010-07-07,123.470001,127.120003,123.470001,127.000000,92.930542,7090300
2010-07-08,127.370003,128.149994,126.739998,127.970001,93.640320,5439300
2010-07-09,127.900002,128.199997,127.290001,127.959999,93.633057,3898000
